id_caso,pregunta_o_texto,respuesta_o_categoria_esperada,documento_fuente,seccion_fuente,observacion
GS-021-TK-00238,Error en el descuento de la quincena El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""Nomina"" fuera del vocabulario de HeuristicProvider (categoria cruda: Nomina)"
GS-022-TK-01684,Solicito certificado laboral con salario,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""Nomina"" fuera del vocabulario de HeuristicProvider (categoria cruda: Nomina)"
GS-023-TK-00443,No me llegó el desprendible de pago El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""Nomina"" fuera del vocabulario de HeuristicProvider (categoria cruda: Nomina)"
GS-024-TK-00215,Cuándo es la próxima inducción El usuario reporta la novedad desde el inicio de la jornada y requiere solución para continuar con su labor.,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""capacitacion"" fuera del vocabulario de HeuristicProvider (categoria cruda: capacitacion)"
GS-025-TK-01561,Solicito capacitación en el módulo nuevo El caso fue reportado por teléfono y se registra para trazabilidad.,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""capacitacion"" fuera del vocabulario de HeuristicProvider (categoria cruda: capacitacion)"
GS-026-TK-01378,Requerimiento del área,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""Otros"" fuera del vocabulario de HeuristicProvider (categoria cruda: Otros)"
GS-027-TK-00295,Consulta general El solicitante indica que la novedad se presenta de forma intermitente desde hace tres días.,Sin clasificar,,,"Caso de clasificación negativo — categoría cruda ""Otros"" fuera del vocabulario de HeuristicProvider (categoria cruda: Otros)"
GS-028,¿Con cuánta anticipación debo solicitar autorización para una comisión de servicio fuera de la sede?,"Con al menos tres (3) días hábiles de anticipación, mediante autorización previa del jefe inmediato registrada en el sistema.",POL-ADM-04_Viaticos.pdf,2,Caso de consulta de política con evidencia real en el índice
GS-029,¿Cuánto se reconoce por concepto de alimentación en la sede principal o en ciudades capitales?,$95.000 diarios (frente a $70.000 diarios en otros municipios).,POL-ADM-04_Viaticos.pdf,3,Caso de consulta de política con evidencia real en el índice
GS-030,¿Hasta qué porcentaje del valor estimado de la comisión puedo solicitar como anticipo de viáticos?,Hasta el ochenta por ciento (80%) del valor estimado de la comisión.,POL-ADM-04_Viaticos.pdf,4,Caso de consulta de política con evidencia real en el índice
GS-031,¿Cuánto tiempo tengo para legalizar los gastos de un viaje de trabajo tras regresar a mi sede?,Cinco (5) días hábiles contados desde el regreso a la sede habitual.,POL-ADM-04_Viaticos.pdf,5,Caso de consulta de política con evidencia real en el índice
GS-032,¿La empresa reconoce el consumo de bebidas alcohólicas durante una comisión de servicio?,"No, las bebidas alcohólicas están explícitamente en la lista de gastos no reconocidos, junto con multas, sanciones e intereses de mora.",POL-ADM-04_Viaticos.pdf,6,Caso de consulta de política con evidencia real en el índice
GS-033,¿Cuándo se paga el reembolso de los gastos de viaje ya legalizados y aprobados?,"En el siguiente ciclo de pago a proveedores, que corre los días 15 y el último día de cada mes.",POL-ADM-04_Viaticos.pdf,7,Caso de consulta de política con evidencia real en el índice
GS-034,¿Cuántos días hábiles de vacaciones causa un colaborador por cada año completo de servicio?,Quince (15) días hábiles por cada año completo de servicio (proporcional si el periodo laborado es inferior a un año).,POL-GTH-01_Vacaciones.pdf,2,Caso de consulta de política con evidencia real en el índice
GS-035,¿Cuánto tiempo tiene Talento Humano para responder una solicitud de vacaciones una vez el jefe inmediato la aprueba?,Tres (3) días hábiles.,POL-GTH-01_Vacaciones.pdf,3,Caso de consulta de política con evidencia real en el índice
GS-036,¿En cuántos periodos puedo fraccionar mis vacaciones?,"Hasta en dos (2) periodos, siempre que uno de ellos sea de mínimo seis (6) días hábiles continuos.",POL-GTH-01_Vacaciones.pdf,4,Caso de consulta de política con evidencia real en el índice
GS-037,¿Puedo compensar en dinero la totalidad de mi periodo de vacaciones causado?,"No, solo puede compensarse en dinero hasta la mitad del periodo causado; no procede la compensación total del periodo.",POL-GTH-01_Vacaciones.pdf,5,Caso de consulta de política con evidencia real en el índice
GS-038,¿Cuál es el periodo restringido para tomar vacaciones en el área Comercial?,"Del 15 de noviembre al 31 de diciembre, por ser temporada alta de ventas.",POL-GTH-01_Vacaciones.pdf,7,Caso de consulta de política con evidencia real en el índice
GS-039,¿Puedo ceder mis días de vacaciones a otro colaborador?,"No, la causación de vacaciones es personal e intransferible.",POL-GTH-01_Vacaciones.pdf,8,Caso de consulta de política con evidencia real en el índice
GS-040,¿Cuál es el tiempo máximo de entrega de un portátil o equipo de escritorio solicitado?,"Diez (10) días hábiles, con aprobación de la Dirección de Tecnología.",POL-TIC-02_Activos_Tecnologicos.pdf,3,Caso de consulta de política con evidencia real en el índice
GS-041,¿Puedo instalar software adicional en mi computador de trabajo sin autorización?,"No, está prohibido instalar software sin autorización de la Coordinación de Infraestructura.",POL-TIC-02_Activos_Tecnologicos.pdf,4,Caso de consulta de política con evidencia real en el índice
GS-042,¿En cuánto tiempo debo reportar la pérdida o el hurto de un equipo asignado?,"Dentro de las veinticuatro (24) horas siguientes al hecho, a la mesa de ayuda.",POL-TIC-02_Activos_Tecnologicos.pdf,5,Caso de consulta de política con evidencia real en el índice
GS-043,¿Cada cuánto se renuevan los equipos de cómputo asignados a los colaboradores?,"Cada cuatro (4) años, o antes si el diagnóstico técnico determina que el equipo no soporta las herramientas requeridas por el cargo.",POL-TIC-02_Activos_Tecnologicos.pdf,6,Caso de consulta de política con evidencia real en el índice
GS-044,¿Qué debo hacer con mi equipo asignado el último día laborado?,Devolverlo mediante acta de devolución con verificación del estado del activo; la Coordinación de Infraestructura realiza el borrado seguro de la información.,POL-TIC-02_Activos_Tecnologicos.pdf,7,Caso de consulta de política con evidencia real en el índice
GS-045,¿Cuál es el tiempo máximo de atención de una solicitud de acceso a un sistema?,Tres (3) días hábiles.,POL-TIC-03_Gestion_de_Accesos.pdf,2,Caso de consulta de política con evidencia real en el índice
GS-046,¿Cuál es la longitud mínima exigida para una contraseña corporativa?,"12 caracteres, con mayúsculas, minúsculas, números y al menos un carácter especial.",POL-TIC-03_Gestion_de_Accesos.pdf,3,Caso de consulta de política con evidencia real en el índice
GS-047,¿Cada cuánto vence la contraseña de una cuenta con privilegios elevados?,Cada 60 días (frente a 90 días para usuarios estándar).,POL-TIC-03_Gestion_de_Accesos.pdf,3,Caso de consulta de política con evidencia real en el índice
GS-048,¿Cuál es el tiempo objetivo de atención de una solicitud de desbloqueo de cuenta?,Dos (2) horas hábiles.,POL-TIC-03_Gestion_de_Accesos.pdf,4,Caso de consulta de política con evidencia real en el índice
GS-049,¿Hasta cuándo se mantienen activos los accesos de un colaborador que se retira de la compañía?,Se revocan a más tardar el último día laborado del colaborador.,POL-TIC-03_Gestion_de_Accesos.pdf,5,Caso de consulta de política con evidencia real en el índice
GS-050,¿Qué ocurre con un acceso a un sistema crítico que no se usa durante 90 días consecutivos?,"Se suspende, previa notificación al jefe inmediato.",POL-TIC-03_Gestion_de_Accesos.pdf,6,Caso de consulta de política con evidencia real en el índice
GS-051,¿Cómo se clasifica un incidente que causa la caída de un servicio esencial o afecta a toda una sede?,"Prioridad Crítica (por ejemplo, la caída del sistema de facturación).",POL-TIC-05_Gestion_de_Incidentes.pdf,3,Caso de consulta de política con evidencia real en el índice
GS-052,¿Cuál es el tiempo de primera respuesta para un incidente de prioridad Alta?,"Una (1) hora, con solución objetivo de 8 horas hábiles.",POL-TIC-05_Gestion_de_Incidentes.pdf,4,Caso de consulta de política con evidencia real en el índice
GS-053,¿Cuándo se escala un incidente de prioridad Crítica?,"De forma inmediata al ser registrado, escalando a la Dirección de Tecnología.",POL-TIC-05_Gestion_de_Incidentes.pdf,5,Caso de consulta de política con evidencia real en el índice
GS-054,¿En cuánto tiempo puedo reabrir un ticket cerrado si la novedad persiste?,Dentro de los cinco (5) días hábiles siguientes al cierre; después de ese plazo debe registrarse un ticket nuevo con referencia al anterior.,POL-TIC-05_Gestion_de_Incidentes.pdf,6,Caso de consulta de política con evidencia real en el índice
GS-055,¿Qué ocurre cuando un ticket acumula tres o más reaperturas?,Se convierte automáticamente en un registro de problema y se asigna a análisis de causa raíz.,POL-TIC-05_Gestion_de_Incidentes.pdf,6,Caso de consulta de política con evidencia real en el índice
GS-056,¿Qué pasa si el solicitante no confirma el cierre de un ticket dentro de los dos días siguientes a la notificación de solución?,El ticket se cierra automáticamente con la anotación correspondiente.,POL-TIC-05_Gestion_de_Incidentes.pdf,7,Caso de consulta de política con evidencia real en el índice
GS-057,¿Cuántos días de licencia remunerada se otorgan por matrimonio de un colaborador?,SIN EVIDENCIA EN LOS DOCUMENTOS,,,"Caso de abstención — el corpus indexado no incluye una política de licencias por matrimonio (verificado: ""matrimonio"" no aparece en ningún fragmento)"
GS-058,¿La compañía ofrece un seguro de vida colectivo para sus colaboradores?,SIN EVIDENCIA EN LOS DOCUMENTOS,,,"Caso de abstención — ninguna de las 5 políticas indexadas trata beneficios de seguro de vida (verificado: ""seguro de vida"" no aparece en ningún fragmento)"
GS-059,¿Existe un código de vestuario obligatorio para trabajar en las oficinas?,SIN EVIDENCIA EN LOS DOCUMENTOS,,,"Caso de abstención — no hay política de código de vestuario en el corpus (verificado: ""vestuario""/""vestimenta"" no aparecen en ningún fragmento)"
GS-060,¿Cuál es el procedimiento para solicitar un plan de datos móvil o celular corporativo?,SIN EVIDENCIA EN LOS DOCUMENTOS,,,"Caso de abstención — la política de activos tecnológicos solo cubre equipos de cómputo y periféricos, no telefonía móvil (verificado: ""celular""/""plan de datos"" no aparecen en ningún fragmento)"
GS-061,¿Cuántos días de licencia remunerada se otorgan por fallecimiento de un familiar (licencia de luto)?,SIN EVIDENCIA EN LOS DOCUMENTOS,,,"Caso de abstención — no existe política de licencias por luto en el corpus (verificado: ""luto""/""fallecimiento"" no aparecen en ningún fragmento)"
GS-062,"¿Qué beneficios de bienestar (gimnasio, planes de salud) ofrece la compañía a los colaboradores?",SIN EVIDENCIA EN LOS DOCUMENTOS,,,"Caso de abstención — no hay política de bienestar/beneficios en el corpus (verificado: ""gimnasio""/""bienestar"" no aparecen en ningún fragmento)"
